"","id","gen_att","eduNEW"
"8","68302006",2,"High School (Lycee) (4 years)"
"15","65986023",2,"Higher education of 2 years"
"45","68357015",1,"Higher education of 2 years"
"50","68357019",1.2,"High School (Lycee) (4 years)"
"51","65986011",1,"High School (Lycee) (4 years)"
"59","68357046",1.2,"High School (Lycee) (4 years)"
"87","65987010",2,"Higher education of 2 years"
"92","65987026",1.6,"University - Undergraduate degree"
"96","68304056",1.4,"Vocational High School (4 years)"
"154","68357036",2.4,"University - Undergraduate degree"
"168","65988028",2,"Vocational High School (4 years)"
"169","68357004",1.8,"Vocational High School (4 years)"
"170","65984106",2.2,"Vocational High School (4 years)"
"173","68357030",1,"High School (Lycee) (4 years)"
"242","68302021",1.8,"High School (Lycee) (4 years)"
"252","65988009",1.6,"Higher education of 2 years"
"265","65984009",1.6,"Primary School (5 years)"
"602","68301005",1.6,"High School (Lycee) (4 years)"
"603","68357024",2.2,"High School (Lycee) (4 years)"
"604","65988010",2.4,"High School (Lycee) (4 years)"
"605","68304077",1.5,"High School (Lycee) (4 years)"
"606","68302061",1,"High School (Lycee) (4 years)"
"607","68302015",1.2,"High School (Lycee) (4 years)"
"608","68301006",2,"High School (Lycee) (4 years)"
"609","65988019",2.8,"High School (Lycee) (4 years)"
"610","65987032",2,"High School (Lycee) (4 years)"
"611","68301028",2,"High School (Lycee) (4 years)"
"612","68302030",1.2,"High School (Lycee) (4 years)"
"613","68304059",1,"High School (Lycee) (4 years)"
"614","65987031",1.6,"High School (Lycee) (4 years)"
"615","65986021",1,"High School (Lycee) (4 years)"
"616","68301035",2.2,"High School (Lycee) (4 years)"
"617","65986008",2.4,"High School (Lycee) (4 years)"
"618","68301014",1.4,"High School (Lycee) (4 years)"
"619","68301011",1.8,"High School (Lycee) (4 years)"
"620","68304036",1,"High School (Lycee) (4 years)"
"621","65988021",2.4,"High School (Lycee) (4 years)"
"622","68304049",1.8,"High School (Lycee) (4 years)"
"623","65986017",1,"High School (Lycee) (4 years)"
"624","68302023",2,"High School (Lycee) (4 years)"
"625","68357035",1,"High School (Lycee) (4 years)"
"626","65988005",1.4,"High School (Lycee) (4 years)"
"627","68304066",1,"High School (Lycee) (4 years)"
"628","68304091",1.2,"High School (Lycee) (4 years)"
"629","65987036",1.8,"High School (Lycee) (4 years)"
"630","65987037",1.8,"High School (Lycee) (4 years)"
"631","65988040",2.4,"High School (Lycee) (4 years)"
"632","68304062",1.4,"High School (Lycee) (4 years)"
"633","68301003",2.4,"High School (Lycee) (4 years)"
"634","68357041",1.2,"High School (Lycee) (4 years)"
"635","65986007",2,"High School (Lycee) (4 years)"
"636","65988036",2,"High School (Lycee) (4 years)"
"637","68304042",1,"High School (Lycee) (4 years)"
"638","68301009",1.2,"High School (Lycee) (4 years)"
"639","65988033",1.2,"High School (Lycee) (4 years)"
"640","68357044",1.2,"High School (Lycee) (4 years)"
"641","65988006",2,"High School (Lycee) (4 years)"
"642","68304080",1.4,"High School (Lycee) (4 years)"
"643","68302057",3,"High School (Lycee) (4 years)"
"644","68357031",1.4,"High School (Lycee) (4 years)"
"645","65987006",3.4,"High School (Lycee) (4 years)"
"646","65987028",2.2,"High School (Lycee) (4 years)"
"647","68304005",3.4,"High School (Lycee) (4 years)"
"648","68302055",1.6,"High School (Lycee) (4 years)"
"649","68302040",1,"High School (Lycee) (4 years)"
"650","65986022",2,"High School (Lycee) (4 years)"
"651","68301013",1.2,"High School (Lycee) (4 years)"
"652","68357029",1.2,"High School (Lycee) (4 years)"
"653","68304034",1.6,"High School (Lycee) (4 years)"
"654","68302041",3.2,"High School (Lycee) (4 years)"
"655","68304100",2,"High School (Lycee) (4 years)"
"656","68301019",1,"High School (Lycee) (4 years)"
"657","65987018",2,"High School (Lycee) (4 years)"
"658","65987042",2,"High School (Lycee) (4 years)"
"659","68302053",1,"High School (Lycee) (4 years)"
"660","68357027",1.6,"High School (Lycee) (4 years)"
"661","65988031",1.2,"High School (Lycee) (4 years)"
"662","68304001",1.2,"High School (Lycee) (4 years)"
"663","68301016",2.4,"High School (Lycee) (4 years)"
"664","68302033",2.2,"High School (Lycee) (4 years)"
"665","65988007",2.4,"High School (Lycee) (4 years)"
"666","68304010",1.8,"High School (Lycee) (4 years)"
"667","68302032",3,"High School (Lycee) (4 years)"
"668","68302039",1.6,"High School (Lycee) (4 years)"
"669","65987005",1.2,"High School (Lycee) (4 years)"
"670","65987033",2,"High School (Lycee) (4 years)"
"671","68357038",2,"High School (Lycee) (4 years)"
"672","68301022",2.6,"High School (Lycee) (4 years)"
"673","65988024",1.8,"High School (Lycee) (4 years)"
"674","65986014",3,"High School (Lycee) (4 years)"
"675","68304085",2,"High School (Lycee) (4 years)"
"676","68357043",1.4,"High School (Lycee) (4 years)"
"677","68304020",1.6,"High School (Lycee) (4 years)"
"678","68304011",2,"High School (Lycee) (4 years)"
"679","68304065",2,"High School (Lycee) (4 years)"
"680","68302037",2.2,"High School (Lycee) (4 years)"
"681","65987027",3,"High School (Lycee) (4 years)"
"682","68302047",2.2,"High School (Lycee) (4 years)"
"683","68304081",1,"High School (Lycee) (4 years)"
"684","68304006",1.25,"High School (Lycee) (4 years)"
"685","65988013",2.8,"High School (Lycee) (4 years)"
"686","68302066",1.4,"High School (Lycee) (4 years)"
"687","65986015",1.2,"High School (Lycee) (4 years)"
"688","68302062",1.4,"High School (Lycee) (4 years)"
"689","68304002",2.4,"High School (Lycee) (4 years)"
"690","68301040",2.6,"High School (Lycee) (4 years)"
"691","65987001",1.4,"High School (Lycee) (4 years)"
"692","68357012",2,"High School (Lycee) (4 years)"
"693","68357018",2.4,"High School (Lycee) (4 years)"
"694","65988023",2.2,"High School (Lycee) (4 years)"
"695","68357042",3.5,"High School (Lycee) (4 years)"
"696","65986027",2,"High School (Lycee) (4 years)"
"697","68304090",3.2,"High School (Lycee) (4 years)"
"698","65988004",2.6,"High School (Lycee) (4 years)"
"699","65986010",2.2,"High School (Lycee) (4 years)"
"700","68304033",2.2,"High School (Lycee) (4 years)"
"701","68304019",2,"High School (Lycee) (4 years)"
"702","68301001",1.8,"High School (Lycee) (4 years)"
"703","68302024",1.4,"High School (Lycee) (4 years)"
"704","68302018",2,"High School (Lycee) (4 years)"
"705","68302054",2,"High School (Lycee) (4 years)"
"706","68301024",1.2,"High School (Lycee) (4 years)"
"707","68301034",1.8,"High School (Lycee) (4 years)"
"708","65984043",1,"High School (Lycee) (4 years)"
"709","65984102",2,"High School (Lycee) (4 years)"
"710","65984097",2.4,"High School (Lycee) (4 years)"
"711","65984069",2.4,"High School (Lycee) (4 years)"
"1422","68304073",1.6,"Higher education of 2 years"
"1423","68302036",2,"Higher education of 2 years"
"1424","65986024",1.4,"Higher education of 2 years"
"1425","65988003",2.6,"Higher education of 2 years"
"1426","65986005",1,"Higher education of 2 years"
"1427","68304095",1,"Higher education of 2 years"
"1428","68304027",2,"Higher education of 2 years"
"1429","68304057",1.4,"Higher education of 2 years"
"1430","68357047",1.8,"Higher education of 2 years"
"1431","68357007",3.2,"Higher education of 2 years"
"1432","65987040",1.6,"Higher education of 2 years"
"1433","65987011",1,"Higher education of 2 years"
"1434","65986012",1.2,"Higher education of 2 years"
"1435","65988042",1.8,"Higher education of 2 years"
"1436","65988035",2,"Higher education of 2 years"
"1437","68304003",1,"Higher education of 2 years"
"1438","68304088",1.8,"Higher education of 2 years"
"1439","68304031",1.5,"Higher education of 2 years"
"1440","68304098",1.5,"Higher education of 2 years"
"1441","65987029",1.2,"Higher education of 2 years"
"1442","68304076",2.8,"Higher education of 2 years"
"1443","68302009",1.2,"Higher education of 2 years"
"1444","65988017",1,"Higher education of 2 years"
"1445","68304014",2.2,"Higher education of 2 years"
"1446","68302050",2.4,"Higher education of 2 years"
"1447","65987038",1.6,"Higher education of 2 years"
"1448","65987008",1.8,"Higher education of 2 years"
"1449","68357022",1.75,"Higher education of 2 years"
"1450","65986031",1.2,"Higher education of 2 years"
"1451","65986002",2.6,"Higher education of 2 years"
"1452","68304092",1.8,"Higher education of 2 years"
"1453","68302012",1.2,"Higher education of 2 years"
"1454","68304013",1.2,"Higher education of 2 years"
"1455","68304028",1,"Higher education of 2 years"
"1456","65988039",1.4,"Higher education of 2 years"
"1457","65986033",1.4,"Higher education of 2 years"
"1458","68304040",1,"Higher education of 2 years"
"1459","65988037",1,"Higher education of 2 years"
"1460","68301026",1.2,"Higher education of 2 years"
"1461","65986032",2,"Higher education of 2 years"
"1462","65987023",2,"Higher education of 2 years"
"1463","65986028",2.4,"Higher education of 2 years"
"1464","68357016",1.6,"Higher education of 2 years"
"1465","68304058",2.6,"Higher education of 2 years"
"1466","68304079",1.8,"Higher education of 2 years"
"1467","65988002",1,"Higher education of 2 years"
"1468","68301012",1.4,"Higher education of 2 years"
"1469","68357040",2,"Higher education of 2 years"
"1470","68304096",1.4,"Higher education of 2 years"
"1471","65988043",2.2,"Higher education of 2 years"
"1472","68304078",1.8,"Higher education of 2 years"
"1473","65987009",1.8,"Higher education of 2 years"
"1474","68357010",4,"Higher education of 2 years"
"1475","68304099",2.2,"Higher education of 2 years"
"1476","65988026",3,"Higher education of 2 years"
"1477","68304046",2.2,"Higher education of 2 years"
"1478","68304029",1.5,"Higher education of 2 years"
"1479","68304012",2.8,"Higher education of 2 years"
"1480","68304052",2,"Higher education of 2 years"
"1481","68302065",1,"Higher education of 2 years"
"1482","65987041",2.2,"Higher education of 2 years"
"1483","65986013",1.4,"Higher education of 2 years"
"1484","68304026",1.8,"Higher education of 2 years"
"1907","68301033",1.6,"Junior High/ Middle School (8 years)"
"1908","65984087",1.8,"Junior High/ Middle School (8 years)"
"1909","65984023",2,"Junior High/ Middle School (8 years)"
"1910","65984119",2,"Junior High/ Middle School (8 years)"
"1911","65984053",2,"Junior High/ Middle School (8 years)"
"1912","65984039",1.4,"Junior High/ Middle School (8 years)"
"1913","65984070",3.2,"Junior High/ Middle School (8 years)"
"1914","65984030",2.2,"Junior High/ Middle School (8 years)"
"1915","65984061",1,"Junior High/ Middle School (8 years)"
"1916","65984046",2,"Junior High/ Middle School (8 years)"
"1917","65984118",2.8,"Junior High/ Middle School (8 years)"
"1918","65984067",2,"Junior High/ Middle School (8 years)"
"1919","65984031",2.4,"Junior High/ Middle School (8 years)"
"2845","65984019",1.2,"Primary School (5 years)"
"2885","65986026",1,"Primary School (5 years)"
"2886","68301025",1.6,"Primary School (5 years)"
"2887","65984086",1.2,"Primary School (5 years)"
"2888","65984075",1.8,"Primary School (5 years)"
"2889","65984040",3.4,"Primary School (5 years)"
"2890","65984058",1.8,"Primary School (5 years)"
"3213","65988027",1.2,"University - Undergraduate degree"
"3214","65988012",2,"University - Undergraduate degree"
"3215","68304016",2,"University - Undergraduate degree"
"3216","68304071",1.2,"University - Undergraduate degree"
"3217","65988034",1.6,"University - Undergraduate degree"
"3218","68301041",1.2,"University - Undergraduate degree"
"3219","68302011",1.4,"University - Undergraduate degree"
"3220","65988016",2,"University - Undergraduate degree"
"3221","65988041",1,"University - Undergraduate degree"
"3222","68304069",1,"University - Undergraduate degree"
"3223","68301027",1.6,"University - Undergraduate degree"
"3224","65987020",1.6,"University - Undergraduate degree"
"3225","65988038",1,"University - Undergraduate degree"
"3226","68304023",1,"University - Undergraduate degree"
"3227","68304043",1.2,"University - Undergraduate degree"
"3228","68304074",1.6,"University - Undergraduate degree"
"3229","65986034",1,"University - Undergraduate degree"
"3230","65988001",2.4,"University - Undergraduate degree"
"3231","65986004",1,"University - Undergraduate degree"
"3232","68357009",2.4,"University - Undergraduate degree"
"3233","68304094",2,"University - Undergraduate degree"
"3234","68357049",3.6,"University - Undergraduate degree"
"3235","68357033",1.8,"University - Undergraduate degree"
"3236","68357001",1.333333333,"University - Undergraduate degree"
"3237","68301037",2,"University - Undergraduate degree"
"3238","68357037",1.6,"University - Undergraduate degree"
"3239","68357013",2,"University - Undergraduate degree"
"3240","65987017",1.8,"University - Undergraduate degree"
"3241","68302067",1.6,"University - Undergraduate degree"
"3242","68302051",1,"University - Undergraduate degree"
"3243","65986029",2,"University - Undergraduate degree"
"3244","68304089",2,"University - Undergraduate degree"
"3245","65988044",1.8,"University - Undergraduate degree"
"3246","68304045",1.8,"University - Undergraduate degree"
"3247","68357014",1.6,"University - Undergraduate degree"
"3492","68302008",1.2,"University - Undergraduate degree"
"3493","68304048",1.8,"University - Undergraduate degree"
"3494","68304093",2,"University - Undergraduate degree"
"3623","68357005",2.4,"Vocational High School (4 years)"
"3624","68304035",1,"Vocational High School (4 years)"
"3625","68304047",2.4,"Vocational High School (4 years)"
"3626","65986001",1.6,"Vocational High School (4 years)"
"3627","68301031",2,"Vocational High School (4 years)"
"3628","65987014",1.2,"Vocational High School (4 years)"
"3629","68302019",1.6,"Vocational High School (4 years)"
"3630","68357039",2,"Vocational High School (4 years)"
"3631","68301023",2.2,"Vocational High School (4 years)"
"3632","65988030",1.2,"Vocational High School (4 years)"
"3633","68304086",2.2,"Vocational High School (4 years)"
"3634","65988025",2.6,"Vocational High School (4 years)"
"3635","65987012",2.2,"Vocational High School (4 years)"
"3636","68304082",2.4,"Vocational High School (4 years)"
"3637","68357003",1.8,"Vocational High School (4 years)"
"3638","68302013",1.8,"Vocational High School (4 years)"
"3639","65988032",3.6,"Vocational High School (4 years)"
"3640","65984017",2,"Vocational High School (4 years)"
"3997","65984011",2.4,"Primary School (5 years)"
"3998","65984068",2,"Primary School (5 years)"
"4030","65988015",1.8,"High School (Lycee) (4 years)"
"4031","68357006",1.6,"High School (Lycee) (4 years)"
"4032","68301039",1.6,"High School (Lycee) (4 years)"
"4033","68301032",2,"High School (Lycee) (4 years)"
"4034","65986016",2.8,"High School (Lycee) (4 years)"
"4035","68304064",2,"High School (Lycee) (4 years)"
"4036","68304054",1.6,"High School (Lycee) (4 years)"
"4037","68302049",2.4,"High School (Lycee) (4 years)"
"4038","68301015",2.2,"High School (Lycee) (4 years)"
"4039","68301018",2.75,"High School (Lycee) (4 years)"
"4076","68302004",1.8,"Higher education of 2 years"
"4077","68304030",2,"Higher education of 2 years"
"4078","68302052",3,"Higher education of 2 years"
"4079","68302007",2.2,"Higher education of 2 years"
"4138","65984001",2.2,"Primary School (5 years)"
"4174","68304061",2,"University - Undergraduate degree"
"4196","68302017",2.25,"Vocational High School (4 years)"
"4197","68304017",2.5,"Vocational High School (4 years)"
"4198","65987003",1,"Vocational High School (4 years)"
"4199","68304051",1.8,"Vocational High School (4 years)"
"4272","65984083",2.2,"Primary School (5 years)"
"4275","68304068",1.2,"University - Undergraduate degree"
"4284","68302043",1.4,"High School (Lycee) (4 years)"
"4293","65984010",2.2,"Primary School (5 years)"
"4318","68357002",2.4,"Junior High/ Middle School (8 years)"
"4338","65987015",1.6,"High School (Lycee) (4 years)"
"4339","68302042",1.8,"High School (Lycee) (4 years)"
"4340","68304032",1,"High School (Lycee) (4 years)"
"4341","68301029",3.4,"High School (Lycee) (4 years)"
"4374","65984060",2.2,"Junior High/ Middle School (8 years)"
"4375","65984111",2,"Junior High/ Middle School (8 years)"
"4413","65984005",2.4,"Primary School (5 years)"
"4414","65984015",2,"Primary School (5 years)"
"4415","65984091",2.8,"Primary School (5 years)"
"4416","65984038",2,"Primary School (5 years)"
"4417","65984117",3.2,"Primary School (5 years)"
"4418","65984094",2,"Primary School (5 years)"
"4419","65984104",2.2,"Primary School (5 years)"
"4420","65984100",1.4,"Primary School (5 years)"
"4421","65984029",2.4,"Primary School (5 years)"
"4473","65987002",1.2,"Vocational High School (4 years)"
"4474","65984113",2.2,"Vocational High School (4 years)"
"4502","68304009",2,"High School (Lycee) (4 years)"
"4503","68304084",1.2,"High School (Lycee) (4 years)"
"4504","68304022",2,"High School (Lycee) (4 years)"
"4505","68304038",2,"High School (Lycee) (4 years)"
"4506","68304007",1,"High School (Lycee) (4 years)"
"4507","68357011",1.8,"High School (Lycee) (4 years)"
"4565","65984088",2.2,"Junior High/ Middle School (8 years)"
"4566","65984101",2.2,"Junior High/ Middle School (8 years)"
"4567","65984052",2,"Junior High/ Middle School (8 years)"
"4568","65984027",2,"Junior High/ Middle School (8 years)"
"4569","65984107",1.6,"Junior High/ Middle School (8 years)"
"4570","65984062",3.2,"Junior High/ Middle School (8 years)"
"4649","65984115",2.2,"Primary School (5 years)"
"4650","65984080",2.4,"Primary School (5 years)"
"4651","65984085",2.2,"Primary School (5 years)"
"4652","65984007",2.2,"Primary School (5 years)"
"4653","65984072",2,"Primary School (5 years)"
"4654","65984042",2.2,"Primary School (5 years)"
"4655","65984114",1.6,"Primary School (5 years)"
"4656","65984036",2,"Primary School (5 years)"
"4657","65984002",1.4,"Primary School (5 years)"
"4658","65984103",1.4,"Primary School (5 years)"
"4659","65984021",2,"Primary School (5 years)"
"4660","65984016",2,"Primary School (5 years)"
"4661","65984108",2,"Primary School (5 years)"
"4662","65984066",2.8,"Primary School (5 years)"
"4663","65984064",2,"Primary School (5 years)"
"4664","65984112",2.2,"Primary School (5 years)"
"4665","65984081",1.4,"Primary School (5 years)"
"4666","65984022",2.2,"Primary School (5 years)"
"4667","65984045",1.4,"Primary School (5 years)"
"4668","65984003",2.2,"Primary School (5 years)"
"4749","68357050",1.4,"University - Undergraduate degree"
"4765","68357017",1.6,"Vocational High School (4 years)"
"4766","68304024",2.2,"Vocational High School (4 years)"
"4803","68301042",2.2,"High School (Lycee) (4 years)"
"4804","65987030",2.6,"High School (Lycee) (4 years)"
"4805","65984057",2,"High School (Lycee) (4 years)"
"4830","65984034",1.8,"Primary School (5 years)"
"4831","65984059",2.4,"Primary School (5 years)"
"4858","65986018",2.2,"Vocational High School (4 years)"
"4859","68304021",2.6,"Vocational High School (4 years)"
"4889","68301002",1.4,"High School (Lycee) (4 years)"
"4890","68302020",3.2,"High School (Lycee) (4 years)"
"4891","65988029",2.4,"High School (Lycee) (4 years)"
"4892","68302035",1.4,"High School (Lycee) (4 years)"
"4893","65986006",2.6,"High School (Lycee) (4 years)"
"4914","68302003",2.8,"Higher education of 2 years"
"4925","65984090",1.4,"Junior High/ Middle School (8 years)"
"4926","65984076",1.4,"Junior High/ Middle School (8 years)"
"4927","65984109",1.4,"Junior High/ Middle School (8 years)"
"4928","65984026",2,"Junior High/ Middle School (8 years)"
"4956","68357045",2.6,"University - Undergraduate degree"
"4969","68304072",1.4,"Vocational High School (4 years)"
"4970","68304041",1.8,"Vocational High School (4 years)"
"4989","68302025",2.2,"Higher education of 2 years"
"4990","68304083",1,"Higher education of 2 years"
"4994","65984077",2.6,"Junior High/ Middle School (8 years)"
"5016","68357026",2.6,"Vocational High School (4 years)"
"5029","68304075",1,"Higher education of 2 years"
"5030","65984020",2.2,"Junior High/ Middle School (8 years)"
"5033","65984032",1.2,"Primary School (5 years)"
"5037","65987025",1,"University - Undergraduate degree"
"5102","65987013",2.2,"High School (Lycee) (4 years)"
"5103","68304067",2.4,"High School (Lycee) (4 years)"
"5104","65986025",3.4,"High School (Lycee) (4 years)"
"5105","68302028",1.6,"High School (Lycee) (4 years)"
"5106","65986020",1.2,"High School (Lycee) (4 years)"
"5107","68301036",2,"High School (Lycee) (4 years)"
"5108","65986019",1.6,"High School (Lycee) (4 years)"
"5109","68304015",1.8,"High School (Lycee) (4 years)"
"5110","65987024",1.4,"High School (Lycee) (4 years)"
"5111","65988018",1.6,"High School (Lycee) (4 years)"
"5112","68304097",1.8,"High School (Lycee) (4 years)"
"5113","68302038",2.8,"High School (Lycee) (4 years)"
"5114","68302029",2.2,"High School (Lycee) (4 years)"
"5115","65987039",1,"High School (Lycee) (4 years)"
"5116","68304044",1,"High School (Lycee) (4 years)"
"5117","68301021",2.2,"High School (Lycee) (4 years)"
"5118","68302044",1.4,"High School (Lycee) (4 years)"
"5119","68304063",1.4,"High School (Lycee) (4 years)"
"5120","68357028",1.8,"High School (Lycee) (4 years)"
"5121","68304055",1,"High School (Lycee) (4 years)"
"5122","68304060",2.4,"High School (Lycee) (4 years)"
"5123","68301020",1.8,"High School (Lycee) (4 years)"
"5124","65984073",1.4,"High School (Lycee) (4 years)"
"5287","68302045",1,"Higher education of 2 years"
"5288","68301038",2.2,"Higher education of 2 years"
"5344","65984044",1.2,"Junior High/ Middle School (8 years)"
"5345","65984055",1.8,"Junior High/ Middle School (8 years)"
"5346","65984092",2.2,"Junior High/ Middle School (8 years)"
"5347","65984018",1,"Junior High/ Middle School (8 years)"
"5348","65984014",2.2,"Junior High/ Middle School (8 years)"
"5349","65984041",2,"Junior High/ Middle School (8 years)"
"5350","65984116",2.2,"Junior High/ Middle School (8 years)"
"5351","65984051",2,"Junior High/ Middle School (8 years)"
"5352","65984035",2.8,"Junior High/ Middle School (8 years)"
"5353","65984013",1.6,"Junior High/ Middle School (8 years)"
"5354","65984099",1.4,"Junior High/ Middle School (8 years)"
"5501","65984078",2.4,"Primary School (5 years)"
"5502","65984037",1.4,"Primary School (5 years)"
"5503","65984004",2.2,"Primary School (5 years)"
"5504","65984095",2.4,"Primary School (5 years)"
"5505","65984084",3.8,"Primary School (5 years)"
"5506","65984071",2.2,"Primary School (5 years)"
"5507","65984074",2,"Primary School (5 years)"
"5508","65984008",1.6,"Primary School (5 years)"
"5509","65984105",2.2,"Primary School (5 years)"
"5510","65984054",1.8,"Primary School (5 years)"
"5511","65984096",1.8,"Primary School (5 years)"
"5512","65984065",2,"Primary School (5 years)"
"5513","65984048",2.6,"Primary School (5 years)"
"5514","65984025",2.2,"Primary School (5 years)"
"5515","65984006",2.2,"Primary School (5 years)"
"5516","65984120",3,"Primary School (5 years)"
"5517","65984047",2,"Primary School (5 years)"
"5518","65984024",2.4,"Primary School (5 years)"
"5519","65984050",2.4,"Primary School (5 years)"
"5520","65984063",2,"Primary School (5 years)"
"5521","65984028",2.4,"Primary School (5 years)"
"5522","65984089",2,"Primary School (5 years)"
"5523","65984049",1.8,"Primary School (5 years)"
"5685","65986009",1,"University - Undergraduate degree"
"5686","68357032",1.2,"University - Undergraduate degree"
"5748","68302002",1.4,"Vocational High School (4 years)"
"5749","68302056",1,"Vocational High School (4 years)"
"5750","68302059",1,"Vocational High School (4 years)"
"5751","65987004",1.6,"Vocational High School (4 years)"
"5752","68302048",1.75,"Vocational High School (4 years)"
"5753","68304025",1,"Vocational High School (4 years)"
"5754","65984033",1.4,"Vocational High School (4 years)"
"5755","65984098",2.2,"Vocational High School (4 years)"
"5843","68301004",2.2,"High School (Lycee) (4 years)"
"5854","65987034",1.4,"University - Undergraduate degree"
